IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.24,92.0,28,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.68,92.0,30,Ya,Tinggi,Perempuan,Ya,Tidak Tepat Waktu
3.89,97.0,9,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.65,60.0,23,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.04,,26,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
3.41,96.0,16,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.73,72.0,6,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.94,65.0,4,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
3.92,80.0,20,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.5,60.0,2,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.99,65.0,29,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.6,57.0,16,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.57,53.0,9,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.07,89.0,3,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.22,53.0,4,Tidak,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.01,74.0,25,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.1,52.0,15,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.56,81.0,25,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.82,52.0,15,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.48,76.0,12,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.29,78.0,17,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.98,81.0,5,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.97,99.0,21,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
,100.0,6,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.34,68.0,23,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.52,70.0,22,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.48,54.0,15,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.46,67.0,24,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
2.74,77.0,17,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.26,91.0,19,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.27,71.0,8,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.07,70.0,11,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.18,55.0,8,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.67,50.0,2,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.64,54.0,24,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.37,90.0,22,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.08,61.0,20,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.18,75.0,17,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.36,95.0,30,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.03,83.0,20,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.02,98.0,5,Tidak,Tinggi,Perempuan,Ya,Tidak Tepat Waktu
2.45,63.0,30,Tidak,Tinggi,Perempuan,Ya,Tidak Tepat Waktu
3.29,75.0,29,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
2.35,94.0,19,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.38,76.0,3,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.77,58.0,2,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.87,75.0,16,Ya,Sedang,Perempuan,Ya,Tepat Waktu
2.28,96.0,6,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.68,71.0,21,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.23,96.0,12,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.85,79.0,11,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.75,92.0,3,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
2.52,97.0,4,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.32,66.0,24,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.63,75.0,24,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.11,,13,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.06,50.0,21,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.48,57.0,6,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.19,98.0,6,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.79,84.0,7,Ya,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.8,64.0,10,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.27,96.0,3,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
,71.0,22,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.7,63.0,13,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.45,75.0,4,Ya,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.79,77.0,21,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.77,72.0,27,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.56,63.0,23,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.28,73.0,13,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.17,51.0,25,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.32,94.0,18,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.8,75.0,11,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.21,63.0,25,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.02,100.0,28,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.2,56.0,15,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.33,52.0,24,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.01,96.0,18,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.32,72.0,19,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.1,95.0,20,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.38,92.0,18,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.3,96.0,15,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
2.45,94.0,10,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.42,67.0,9,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.47,87.0,3,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.65,84.0,14,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.49,100.0,26,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
3.3,64.0,8,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.7,74.0,10,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.32,86.0,23,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.14,77.0,23,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
2.19,,12,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.74,88.0,15,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.53,66.0,5,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.49,88.0,27,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.95,71.0,27,Ya,Rendah,Perempuan,Ya,Tepat Waktu
2.79,75.0,30,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.78,93.0,14,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.26,74.0,3,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.59,66.0,24,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.01,62.0,6,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.15,69.0,12,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.99,74.0,7,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.39,53.0,19,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.44,59.0,22,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.56,52.0,11,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.05,90.0,5,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.29,94.0,10,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.35,67.0,7,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.88,96.0,3,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.91,,18,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.83,96.0,6,Tidak,Sedang,Laki-laki,Ya,Tepat Waktu
2.74,71.0,26,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.03,83.0,7,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.86,96.0,27,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
2.86,57.0,13,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.93,89.0,24,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.93,98.0,22,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
3.71,93.0,11,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.59,68.0,23,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.77,91.0,22,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.7,90.0,28,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.63,86.0,26,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.34,55.0,7,Ya,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.11,75.0,28,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.87,83.0,9,Ya,Tinggi,Perempuan,Ya,Tepat Waktu
3.39,94.0,3,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.14,55.0,13,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.19,86.0,14,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.23,82.0,26,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.98,71.0,22,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.28,70.0,8,Tidak,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.04,55.0,11,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.75,55.0,14,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.48,97.0,18,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.39,53.0,27,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.4,79.0,22,Ya,Sedang,Perempuan,Ya,Tepat Waktu
2.72,60.0,29,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.59,79.0,27,Tidak,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.62,80.0,15,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
3.62,73.0,3,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.73,58.0,29,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
3.83,52.0,23,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.02,100.0,12,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.0,80.0,2,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.6,89.0,20,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
3.3,86.0,22,Tidak,Sedang,Laki-laki,Ya,Tepat Waktu
3.4,85.0,5,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.59,73.0,20,Ya,Sedang,Perempuan,Ya,Tepat Waktu
3.78,80.0,27,Tidak,Rendah,Perempuan,Ya,Tepat Waktu
2.68,55.0,30,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.75,51.0,22,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.19,69.0,12,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.16,77.0,9,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.07,60.0,12,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.93,53.0,5,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.09,64.0,18,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.57,55.0,28,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.18,98.0,8,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.06,79.0,9,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.07,87.0,4,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.65,100.0,23,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
2.72,51.0,3,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.25,64.0,24,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.04,60.0,16,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.54,57.0,25,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.43,75.0,23,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.25,100.0,23,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
2.17,94.0,6,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.1,93.0,25,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.06,54.0,2,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.08,55.0,27,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.27,75.0,5,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.45,53.0,16,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.95,68.0,21,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.03,69.0,20,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.65,82.0,4,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.59,69.0,21,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.54,98.0,12,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.88,61.0,18,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.16,96.0,28,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.05,50.0,14,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.93,75.0,12,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.67,63.0,3,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.39,87.0,10,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.82,86.0,27,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.35,60.0,3,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.31,85.0,22,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.5,62.0,10,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.1,92.0,10,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.43,52.0,9,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.32,82.0,18,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.56,55.0,2,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.91,99.0,26,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
